place.name,place.description,place.prices,place.ratings,place.mentions,place.location,place.region,place.spenttime,place.openingtime
SKAI Bar,Bars & Clubs,NA,5.0,"crew,thalia","Address2 Stamford Road Swissotel The Stamford, Singapore 178882 Singapore",Neighborhood: City Hall,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Sabaai Sabaai Thai Massage,Spas,NA,4.5,"traditional thai massage,full body,therapist,skilled","Address49A Boat Quay Raffles Place, facing the Singapore River, Singapore 049838 Singapore",Neighborhood: Central Area/City Area,2-3 hours,11:00 AM - 10:30 PM
NA,NA,NA,NA,,NA,NA,NA,NA
BooksActually,Speciality & Gift Shops,NA,4.5,,"AddressNo. 9 Yong Siak Street Tiong Bahru Estate, Singapore 168645 Singapore",Neighborhood: Bukit Merah,NA,11:00 AM - 9:00 PM
Shanghai Dolly,Bars & Clubs • Karaoke Bars • Dance Clubs & Discos,NA,4.5,,"Address3B River Valley Road The Foundry #01-01 Clarke Quay, Singapore 179021 Singapore",Neighborhood: Central Area/City Area,More than 3 hours,5:00 PM - 5:00 AM
ZIIIRO Singapore,Speciality & Gift Shops,NA,5.0,,"Address391A Orchard Road Ngee Ann City Tower a Level 3 Mens Department, Singapore 238873 Singapore",Neighborhood: Central Area/City Area,< 1 hour,10:00 AM - 9:30 PM
The Library,Wine Bars,NA,4.5,,NA,Neighborhood: Outram,NA,NA
Spiffy Dapper,Bars & Clubs,NA,4.0,"nice ambience,coffin","Address73 Amoy Street Second Floor, Singapore 069892 Singapore",Neighborhood: Central Area/City Area,NA,5:00 PM - 1:00 AM
NA,NA,NA,NA,,NA,NA,NA,NA
The Projector,Movie Theaters,NA,4.5,,"Address6001 Beach Road Golden Mile Tower, Singapore 199589 Singapore",Neighborhood: Crawford,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
IB HQ,Bars & Clubs,NA,5.0,,"Address774A North Bridge Road, Singapore 198742 Singapore",Neighborhood: Rochor,2-3 hours,5:00 PM - 10:30 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Damai Spa,Health Clubs • Spas,NA,4.5,"grand hyatt,massage bed,massage therapy,massage experience,therapist,knots,tension","Address10 Scotts Road Grand Hyatt Singapore Grand Hyatt Singapore, Singapore 228211 Singapore",Neighborhood: Boulevard,NA,10:00 AM - 10:00 PM
Need Massage,Neighborhoods • Onsen Resorts • Spas,NA,5.0,,"Address68 Thomson Road, Singapore 307587 Singapore",Neighborhood: Moulmein,1-2 hours,11:00 AM - 10:00 PM
Cool Cats,Bars & Clubs • Jazz Bars,NA,4.5,,"Address32 Beach Road The South Beach South Beach Tower, Singapore 189764 Singapore",Neighborhood: Central Area/City Area,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
The Escape Artist,Escape Games,NA,4.5,"count dracula,fun experience,out of the box,physical challenges,puzzle solving,hints,props,storyline,concept,challenging,bonding,beginners,activity,skills,eerie,light,harbourfront","Address52 Telok Blangah Road Telok Blangah House No. 01-01, Singapore 098829 Singapore",Neighborhood: Bukit Merah,1-2 hours,NA
Clarke Quay Central,Speciality & Gift Shops,NA,4.0,,"Address6 Eu Tong Sen Street The Central, Singapore 059817 Singapore",Neighborhood: Central Area/City Area,NA,11:00 AM - 10:00 PM
Dakshaini Silks,Speciality & Gift Shops,NA,5.0,"sarees,sari,fabric,treasure,diwali,shopping","Address13 Upper Dickson Road Opposite New Woodlands Restaurant, Near Tekka Market, Singapore 207473 Singapore",Neighborhood: Rochor,< 1 hour,10:00 AM - 9:00 PM
Lantern,Bars & Clubs,NA,4.0,"rooftop bar,mbs","Address80 Collyer Quay Clifford Pier The Fullerton Bay Hotel, Singapore 049326 Singapore",Neighborhood: Marina Bay,2-3 hours,5:00 PM - 10:30 PM
NA,NA,NA,NA,,NA,NA,NA,NA
J Studios,Spas,NA,5.0,,"Address31 Haji Lane, Singapore 189224 Singapore",Neighborhood: Rochor,1-2 hours,11:00 AM - 10:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Prime Aces Limousine,Taxis & Shuttles,NA,5.0,,NA,Neighborhood: Changi,More than 3 hours,12:00 AM - 11:59 PM
The Bar at 15 Stamford,Bars & Clubs,NA,5.0,"stylish bar,concocted,cbd","Address15 Stamford Road The Capitol Kempinski Hotel Singapore, Singapore 178906 Singapore",Neighborhood: City Hall,NA,4:00 PM - 10:30 PM
Good Luck Beer House,Bars & Clubs,NA,4.5,"haji lane,shop","Address9 Haji Lane, Singapore 189202 Singapore",Neighborhood: Rochor,1-2 hours,12:00 PM - 12:00 AM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
At-Sunrice GlobalChef Academy,Cooking Classes,NA,5.0,"private chef,cooking tips,fun learning,classes,lesson,cuisine,skills,funding,taught,session,chinese,photos","Address28 Tai Seng Street Sakae Building Level 5, Singapore 534106 Singapore",Neighborhood: Hougang,More than 3 hours,9:00 AM - 9:00 PM
Dempsey Hill,Speciality & Gift Shops,NA,4.0,"ps cafe,interesting history,f b,barracks,enclave,ministry,alexandra,land","Address8 Dempsey Rd. 8 Dempsey Hill, Singapore 247696 Singapore",Neighborhood: Tanglin,More than 3 hours,NA
FunEmpire,Game & Entertainment Centers,NA,4.5,,"Address5B Guillemard Road Wing Fong Building Level 3 Wing Fong Building, Singapore 399685 Singapore",Neighborhood: Red Light District,2-3 hours,9:00 AM - 10:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Kenko Reflexology and Fish Spa,Spas,NA,4.5,,"Address2 Bayfront Avenue Marina Bay Sands #01-29B Marina Bay Sands, Singapore 018972 Singapore",Neighborhood: Marina Bay,NA,NA
Urban SPA,Spas,NA,4.5,"ginger tea,therapist","Address5 Coleman Street Peninsula.Excelsior Hotel Peninsula Excelsior Hotel, Suite 03-09 Excelsior Tower Level 3, Singapore 179805 Singapore",Neighborhood: City Hall,2-3 hours,11:00 AM - 11:30 PM
Saint Games,Game & Entertainment Centers,NA,5.0,,"Address1 Stadium Place #02-09 Kallang Wave Mall, Singapore 397688 Singapore",Neighborhood: Tanjong Rhu,1-2 hours,12:00 PM - 10:00 PM
Coriander Leaf Cooking Classes,Cooking Classes,NA,5.0,,"Address30 Victoria Street #02-01 Chijmes 30 Victoria Street, Singapore 187996 Singapore",Neighborhood: City Hall,2-3 hours,NA
The Crazy Elephant,Bars & Clubs • Dance Clubs & Discos,NA,4.0,clark quay,"AddressBlk E # 01 03 04 Clarke Quay, River Valley Road, Singapore 179024 Singapore",Neighborhood: Central Area/City Area,NA,NA
Singapore Island Country Club,Golf Courses,NA,4.5,play,"Address240 Sime Road Singapore Island Country Club, Singapore 288303 Singapore",Neighborhood: Central Water Catchment,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Tudor Laurel,Spas,NA,5.0,,"Address145 Tanglin Road Tudor Court, Singapore 247931 Singapore",Neighborhood: Central Area/City Area,NA,NA
Shaw Theatres Lido Imax,Movie Theaters,NA,4.0,,"Address350 Orchard Road Level 5 Shaw House, Singapore 238868 Singapore",Neighborhood: Boulevard,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Hatyai Thai Massage,Spas,NA,4.5,"oil massage,therapist,knots,tension,techniques,session,muscular,kneading,therapeutic","Address58A Temple Street China Town, Singapore 058603 Singapore",Neighborhood: Outram,1-2 hours,NA
Afond Boutique Spa,Spas,NA,4.5,chinatown,"Address263 South Bridge Road, Singapore 058812 Singapore",Neighborhood: Outram,1-2 hours,10:00 AM - 3:00 AM
NA,NA,NA,NA,,NA,NA,NA,NA
Aurora Spa By The Retreat,Spas,NA,5.0,,"Address6 Sin Ming Road #01-08 Sin Ming Plaza Sin Ming Plaza Tower 2, Singapore 575585 Singapore",Neighborhood: Bishan,1-2 hours,11:00 AM - 8:30 PM
Acid Bar,Bars & Clubs,NA,4.0,,"Address180 Orchard Road Peranakan Place, Singapore 238846 Singapore",Neighborhood: Emerald Hill,2-3 hours,2:30 PM - 10:30 PM
Imperial Apple Spa,Spas,NA,4.5,"massage service,masseuse,knots,90min","Address171 Tras Street Union Building Union Building, Singapore 079025 Singapore",Neighborhood: Anson,NA,10:00 AM - 4:00 AM
BonAppetour Experience,Cooking Classes,NA,4.5,,"Address10 Jalan Limau Purut Bedokville, Singapore 468184 Singapore",Neighborhood: Bedok South,1-2 hours,10:00 AM - 9:00 PM
Meomi Cat Café,Game & Entertainment Centers,NA,4.0,"cat cafe,visitors","Address668 North Bridge Road, Singapore 188801 Singapore",Neighborhood: Rochor,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
The Smith Street Taps,Bars & Clubs,NA,4.5,,"AddressBlock 335 Smith Street Chinatown Complex Chinatown Complex #02-062, Singapore 050335 Singapore",Neighborhood: Outram,NA,NA
Altimate,Bars & Clubs • Dance Clubs & Discos,NA,4.5,,"Address1 Raffles Place One Raffles Place Level 61, Singapore 048616 Singapore",Neighborhood: Central Area/City Area,1-2 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
The Merry Lion,Bars & Clubs • Comedy Clubs,NA,5.0,,"Address8b Circular Road Third Floor, Singapore 049364 Singapore",Neighborhood: Central Area/City Area,2-3 hours,6:00 PM - 12:00 AM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Houbii Spot Singapore,Game & Entertainment Centers,NA,5.0,,"Address80 Mandai Lake Road Singapore Zoological Gardens, Singapore 729826 Singapore",Neighborhood: Central Water Catchment,1-2 hours,10:00 AM - 6:00 PM
Jem,Shopping Malls,NA,4.0,shopping,"Address50 Jurong Gateway Road Jem, Singapore 608549 Singapore",Neighborhood: Jurong East,NA,10:00 AM - 10:00 PM
The Spa at Mandarin Oriental Singapore,Spas,NA,4.5,"oriental massage,therapist,tension,techniques,session","Address5 Raffles Avenue Mandarin oriental 5 Raffles Avenue Level 5, Singapore 039797 Singapore",Neighborhood: Marina Centre,NA,NA
It works by Hama,Spas,NA,5.0,,"Address304 Orchard Road Lucky Plaza #01-89 Lucky Plaza, Singapore 238863 Singapore",Neighborhood: Boulevard,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
The Star Vista,Speciality & Gift Shops,NA,4.0,"shopping mall,church,cedele","Address1 Vista Exchange Green The Star Vista, Singapore 138617 Singapore",Neighborhood: One North,NA,10:00 AM - 10:00 PM
Ah Seng Durian,Speciality & Gift Shops,NA,4.5,,"Address20 Ghim Moh Road Ghim Moh Gardens Blk 20 #01-119 to #01-122 Ghim Moh Market, Singapore 270020 Singapore",Neighborhood: Ghim Moh,< 1 hour,12:00 PM - 8:00 PM
Facia Ginza Singapore (Orchard Branch),Spas,NA,5.0,"neck and shoulders,session,trial,delfi,therapy,tension,therapist,facial,fascia","Address402 Orchard Road Delfi Orchard #04-20, Delfi Orchard, Singapore 238876 Singapore",Neighborhood: Boulevard,1-2 hours,10:30 AM - 5:00 PM
SuperPark Singapore,Game & Entertainment Centers,NA,4.5,"rock climbing,kids and adults,a lot of fun,great place for all ages,trampoline,skate,lockers,safety,session,boating,track","Address3 Temasek Boulevard Suntec City Mall Suntec City Tower 1 #02-477, Singapore 038983 Singapore",Neighborhood: Central Area/City Area,NA,10:30 AM - 7:15 PM
Maison 21G,Paint & Pottery Studios,NA,5.0,workshop,"Address77 Duxton Road, Singapore 089536 Singapore",Neighborhood: Outram,NA,12:00 PM - 8:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Aeroline Service Centre Singapore,Bus Services,NA,4.0,"aeroline bus,malaysia,embark",NA,Neighborhood: Bukit Merah,1-2 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Sifr Aromatics,Speciality & Gift Shops,NA,5.0,"perfume,johari","Address42 Arab Street, Singapore 199741 Singapore",Neighborhood: Rochor,NA,11:00 AM - 8:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
MyTrip Transport Services,Taxis & Shuttles,NA,4.5,,NA,NA,2-3 hours,NA
eLimo,Bus Services • Taxis & Shuttles,NA,4.5,,NA,NA,< 1 hour,12:00 AM - 11:59 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Jamal Kazura Aromatics,Speciality & Gift Shops,NA,4.0,,"Address728 North Bridge Road, Singapore 198696 Singapore",Neighborhood: Rochor,NA,9:00 AM - 6:00 PM
Banyan Tree Spa Marina Bay Sands,Spas,NA,4.5,"marina bay sands,session,massaging","Address10 Bayfront Avenue Marina Bay Sands Tower 1, Level 55, Singapore 018956 Singapore",Neighborhood: Marina Bay,2-3 hours,NA
Dilip Textiles,Speciality & Gift Shops,NA,5.0,"arab street,shop","Address74 Arab Street, Singapore 199771 Singapore",Neighborhood: Rochor,< 1 hour,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Little India Arcade,Speciality & Gift Shops,NA,3.5,"apparel,tourists","Address48 Serangoon Rd, Singapore 217959 Singapore",Neighborhood: Rochor,NA,NA
Marina Bay Golf Course,Golf Courses,NA,4.0,,"Address80 Rhu Cross, Singapore 437437 Singapore",Neighborhood: Central Area/City Area,NA,6:30 AM - 10:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
BRIX,Bars & Clubs,NA,4.0,orchard towers,"Address10 Scotts Road Grand Hyatt Singapore Grand Hyatt Singapore, Singapore 228211 Singapore",Neighborhood: Central Area/City Area,More than 3 hours,9:00 PM - 4:00 AM
Katia Verde Art Gallery,Speciality & Gift Shops • Art Galleries,NA,5.0,"jalan,besar,peranakan,shop","Address51 Jalan Besar, Singapore 208806 Singapore",Neighborhood: Little India,< 1 hour,NA
Bynd Artisan,Lessons & Workshops,NA,5.0,"workshop,craftsmen,material,session,paintings","Address44 Jalan Merah Saga #01-54, Singapore 278116 Singapore",Neighborhood: Holland Village,1-2 hours,10:00 AM - 8:00 PM
Movie Theater,Movie Theaters,NA,4.5,,NA,Neighborhood: Changi,NA,NA
Trapped,Escape Games,NA,4.5,,"Address42 Kandahar Street Kampung Glam Shop Houses, Singapore 198896 Singapore",Neighborhood: Rochor,NA,11:00 AM - 11:00 PM
Watch Palace Rolex Boutique,Speciality & Gift Shops,NA,5.0,"lucky plaza,tudor,watches,alvin,purchase,shop","Address304 Orchard Road Lucky Plaza #01-01/02 Lucky Plaza, Singapore 238863 Singapore",Neighborhood: Boulevard,1-2 hours,10:30 AM - 6:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Zouk,Bars & Clubs • Dance Clubs & Discos,NA,3.5,,"Address3C River Valley Road The Cannery, Singapore 179022 Singapore",Neighborhood: Central Area/City Area,More than 3 hours,6:00 PM - 3:00 AM
The Polliwogs,Game & Entertainment Centers,NA,4.0,,"Address3 Temasek Boulevard Suntec City Mall No. 02-724 Tower 4, Singapore 038983 Singapore",Neighborhood: Central Area/City Area,1-2 hours,10:00 AM - 8:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Sengkang Swimming Complex,Other Outdoor Activities,NA,4.0,120cm,"Address57 Anchorvale Rd, Singapore 544964 Singapore",Neighborhood: Anchorvale,NA,NA
BOUNCE Singapore,Sports Complexes • Game & Entertainment Centers,NA,4.0,lots of fun,"Address8 Grange Road Cathay Cineleisure  Orchard #09-01, Singapore 239695 Singapore",Neighborhood: Somerset,1-2 hours,11:00 AM - 8:00 PM
Nutmeg & Clove,Bars & Clubs,NA,4.0,,"Address10A Ann Siang Hill, Singapore 069789 Singapore",Neighborhood: Outram,NA,6:00 PM - 1:00 AM
Victor York-The Boutique By The River,Speciality & Gift Shops,NA,4.5,,"Address40b Boat Quay #02-02, Singapore 049829 Singapore",Neighborhood: Central Area/City Area,NA,10:00 AM - 7:00 PM
Marquee Singapore,Bars & Clubs,NA,4.5,,"Address2 Bayfront Avenue #1-67 Marina Bay Sands The Shoppes at Marina Bay Sands, Singapore 018972 Singapore",Neighborhood: Marina Bay,More than 3 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
goScoot,Gear Rentals,NA,4.5,,"Address3D River Valley Road Traders' Market Clarke Quay, Singapore 179024 Singapore",Neighborhood: Central Area/City Area,2-3 hours,9:00 AM - 9:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
The Past Perfect Collection,Speciality & Gift Shops • Antique Shops,NA,5.0,"liat,boon,showroom,knowledgeable","Address315 Outram Road Tan Boon Liat Building #11-05 Tan Boon Liat Building, Singapore 169074 Singapore",Neighborhood: Bukit Merah,< 1 hour,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Airzone,Game & Entertainment Centers,NA,4.5,height,"Address180 Kitchener Road City Square Mall City Square Mall, #02-K4/K10, Singapore 208539 Singapore",Neighborhood: Lavender,1-2 hours,11:00 AM - 10:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Poppy Fabric,Speciality & Gift Shops,NA,4.5,,"Address111 Arab Street, Singapore 199807 Singapore",Neighborhood: Rochor,< 1 hour,NA
Yoga Mala,Health Clubs • Yoga & Pilates,NA,4.5,"yoga philosophy,daily journal,asana,mien,ytt,anatomy,teaching,classes,meditation,posed,practicing,spiritual,posture","Address49A Circular Road, Singapore 049404 Singapore",Neighborhood: Central Area/City Area,1-2 hours,7:00 AM - 9:00 PM
Far East Plaza,Speciality & Gift Shops,NA,3.5,,"Address14 Scotts Road Far East Plaza, Singapore 228213 Singapore",Neighborhood: Central Area/City Area,NA,10:00 AM - 10:00 PM
Heng Heng Massage,Spas,NA,5.0,foot massage,"Address14 Scotts Road Floor 03 Far East Plaza 59 Far East plaza, Singapore 228213 Singapore",Neighborhood: Central Area/City Area,1-2 hours,10:30 AM - 9:00 PM
Singapore Cruise Centre,Taxis & Shuttles,NA,3.5,palace suite,"AddressSingapore Cruise Centre Pte Ltd 1 Maritime Square #07-01 HarbourFront Centre, Singapore 099253 Singapore",Neighborhood: Bukit Merah,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Little Guilin,Other Outdoor Activities,NA,4.0,"bukit batok,granite quarry,hdb flats,stadium,rocks,gompa,scenic,park,fishing,turtles","AddressBukit Batok East Avenue 5, Singapore 043359 Singapore",Neighborhood: Bukit Batok,NA,NA
MST Transport,Taxis & Shuttles,NA,5.0,,NA,Neighborhood: Tampines East,More than 3 hours,9:00 AM - 10:00 PM
Climb Central,Game & Entertainment Centers,NA,4.5,,"Address1 Stadium Walk Kallang Theatre Kallang Wave, Singapore 397688 Singapore",Neighborhood: Tanjong Rhu,1-2 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Rui Transport Services,Taxis & Shuttles,NA,5.0,,"AddressTiong Bahru, Singapore 090037 Singapore",Neighborhood: Bukit Merah,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
The Single Cask,Bars & Clubs • Wine Bars,NA,4.5,,"Address30 Victoria Street Chijmes #01-25 Chijmes, Caldwell House, Singapore 187996 Singapore",Neighborhood: City Hall,2-3 hours,NA
Mystery Singapore,Escape Games,NA,5.0,"fun fun fun,clues,parts,challenging","Address93 Robertson Quay #13-02 Rivergate, Singapore 238255 Singapore",Neighborhood: Robertson Quay,NA,8:00 AM - 10:00 PM
Willow Stream Spa,Spas,NA,4.0,knots,"Address80 Bras Basah Road Level 6, Fairmont Singapore, Singapore 189560 Singapore",Neighborhood: City Hall,NA,7:00 AM - 9:00 PM
Made Suits,Speciality & Gift Shops,NA,5.0,"measurements,fabric","Address138 Robinson Road #02-09 Oxley Tower, Singapore 068906 Singapore",Neighborhood: Cecil,1-2 hours,11:00 AM - 8:00 PM
Yunomori Onsen & Spa,Onsen Resorts • Spas,NA,3.5,"thai massage,cold bath,resting room,locker area,f b,yukata,silk,kallang,minerals,recharge,user,shoes,branch,mall","Address1 Stadium Place #02-17/18 Kallang Wave Mall, Singapore 397628 Singapore",Neighborhood: Tanjong Rhu,2-3 hours,10:00 AM - 11:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Swuk Aesthetics & Spa,Spas,NA,5.0,,"AddressBlk 123 Lorong 1 Toa Payoh #01-499, Singapore 310123 Singapore",Neighborhood: Boulevard,1-2 hours,11:00 AM - 8:00 PM
TWG Tea Boutique at Changi T1,Speciality & Gift Shops,NA,4.0,,"Address80 Airport Boulevard Changi Airport Terminal 1 #02-14 Terminal 1 (Center Area), Singapore 819642 Singapore",Neighborhood: Changi,NA,7:00 AM - 10:00 PM
Kamal Arts,Lessons & Workshops,NA,5.0,,"Address1 Engku Aman Turn Wisma Geylang Serai #04-06, 1 Engku Aman Turn, Singapore 408528 Singapore",Neighborhood: Geylang East,1-2 hours,10:00 AM - 6:30 PM
Vivo Diamonds,Speciality & Gift Shops • Shopping Malls,NA,5.0,,"Address57 Tanjong Pagar Road, Singapore 088478 Singapore",Neighborhood: Outram,1-2 hours,12:00 PM - 8:00 PM
Bugis Village,Speciality & Gift Shops • Shopping Malls,NA,4.0,,NA,Neighborhood: Rochor,1-2 hours,NA
Mozio - Singapore,Taxis & Shuttles,NA,5.0,,"AddressBukit Timah Rd, Singapore, Singapore 8V42+G7 Singapore",Neighborhood: Bukit Timah,NA,12:00 AM - 11:30 PM
Trimmings Salon & Spa - AVEDA,Spas,NA,5.0,pedicure,"Address75B Loewen Road, Singapore 248852 Singapore",Neighborhood: Tanglin,2-3 hours,9:00 AM - 8:30 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Dream Drive Pte Ltd,Gear Rentals,NA,4.5,,"Address3 Temasek Boulevard Floor 1 Suntec City Mall Suntec City Mall, Singapore 038983 Singapore",Neighborhood: Central Area/City Area,NA,10:00 AM - 8:00 PM
Captivate Escape Rooms,Escape Games,NA,4.0,"puzzles,labyrinth,storyline","Address#06-28, Singapore Shopping Centre, Singapore 633876 Singapore",Neighborhood: Museum,1-2 hours,11:15 AM - 9:45 PM
KidsSTOP™,Science Museums • Lessons & Workshops • Children's Museums,NA,4.0,"dinosaurs,session,fun","Address21 Jurong Town Hall Road, Singapore 609433 Singapore",Neighborhood: Jurong East,NA,"9:30 AM - 1:30 PM, 2:00 PM - 6:00 PM"
NA,NA,NA,NA,,NA,NA,NA,NA
St. Gregory Spa,Spas,NA,5.0,"balinese massage,therapist,indonesia","Address3 Upper Pickering Street Parkroyal On Pickering St. Gregory Spa at PARKROYAL COLLECTION Pickering, Level 5, Singapore 058289 Singapore",Neighborhood: Outram,NA,10:00 AM - 10:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Amped Trampoline Park,Game & Entertainment Centers,NA,4.0,,"Address46 Kim Yam Road The Herencia The Herencia #02-11, Singapore 239351 Singapore",Neighborhood: Central Area/City Area,NA,10:00 AM - 10:00 PM
Albert Court Village Hotel Lobby Lounge,Bars & Clubs,NA,4.0,,"Address180 Albert Street Village Hotel Albert Court, Singapore 189971 Singapore",Neighborhood: Rochor,NA,NA
Visual Arts Centre,Lessons & Workshops,NA,5.0,"teacher,session,paintings","Address10 Penang Road #01-02 Dhoby Ghaut Green, Singapore 238469 Singapore",Neighborhood: Museum,2-3 hours,11:00 AM - 8:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
M&B Private Jewelers,Speciality & Gift Shops,NA,5.0,"engagement ring,orchard road,resize,jewellers,jewelry,shop","Address304 Orchard Road Lucky Plaza Lucky Plaza # 02-05, Singapore 238863 Singapore",Neighborhood: Boulevard,< 1 hour,11:00 AM - 7:00 PM
Flyer Lounge @ Singapore Flyer,Bars & Clubs,NA,4.0,,"AddressThe Singapore Flyer 30 Raffles Avenue, Singapore 039803 Singapore",Neighborhood: Marina Centre,NA,8:30 AM - 10:00 PM
Kglow Skinlab,Spas,NA,5.0,"facial treatment,therapist","Address9 Raffles Boulevard Millenia Walk 02-23 Millenia Walk, Singapore 039596 Singapore",Neighborhood: Marina Centre,1-2 hours,9:00 AM - 9:00 PM
Bras Basah Complex,Speciality & Gift Shops,NA,3.5,"second hand books,shopping complex,national library,jack's place,victoria street,shops selling,art,bookshop,school,watches,material,series","AddressBras Basah Complex, Blk 233 Bain St, #04-11, Singapore 180231 Singapore",Neighborhood: Central Area/City Area,NA,NA
Enjoy Tea,Speciality & Gift Shops,NA,5.0,"chinese tea,tea ware",NA,Neighborhood: Outram,NA,NA
Beauty 21,Spas,NA,5.0,,"Address230 Orchard Road Faber House #04-234/6, Singapore 238854 Singapore",Neighborhood: Emerald Hill,1-2 hours,11:00 AM - 9:00 PM
Palate Sensations Cooking School Day Classes,Cooking Classes,NA,4.0,"participants,instructor","Address10 Biopolis Road Chromos Chromos #01-03, Singapore 138670 Singapore",Neighborhood: One North,2-3 hours,11:00 AM - 10:00 PM
Bamboo Vietnam Hair Spa,Paint & Pottery Studios,NA,5.0,,"Address65 Jalan Besar, Singapore 208813 Singapore",Neighborhood: Rochor,1-2 hours,11:00 AM - 10:30 PM
NA,NA,NA,NA,,NA,NA,NA,NA
Soul Massage Singapore ( Orchard ) Home massage service,Spas,NA,5.0,"body massage,great massage,masseuse","Address321 Orchard Rd, Singapore, Singapore 238836 Singapore",Neighborhood: Somerset,NA,10:00 AM - 11:00 PM
Alfie Browns,Speciality & Gift Shops,NA,5.0,,"Address501 Bukit Timah Road Cluny Court #02- 12 Cluny Court, Singapore 259760 Singapore",Neighborhood: Tanglin,< 1 hour,10:00 AM - 7:00 PM
LaserOPS,Game & Entertainment Centers,NA,4.5,,"AddressDhoby Ghaut Northeast Line MRT Station # B1 04 05 06 60A Orchard Road, Singapore 238890 Singapore",Neighborhood: Museum,1-2 hours,12:00 PM - 9:00 PM
Kenko Wellness,Spas,NA,4.0,,"Address8 Raffles Avenue Esplanade Mall Esplanade Mall #02-21, Singapore 039802 Singapore",Neighborhood: Marina Centre,NA,10:00 AM - 10:00 PM
Gold Class Experience,Movie Theaters,NA,4.5,,"AddressGreat World City 1 Kim Seng Promenade #03-39/40, Singapore 237994 Singapore",Neighborhood: Central Area/City Area,NA,NA
The Fullerton Spa,Spas,NA,4.5,"asian heritage,therapist,skills","Address1 Fullerton Square Fullerton Hotel The Fullerton Hotel Singapore, Singapore 049178 Singapore",Neighborhood: Central Area/City Area,1-2 hours,10:00 AM - 10:00 PM
NA,NA,NA,NA,,NA,NA,NA,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Palm Ave Float Club,Health Clubs • Spas,NA,4.5,,"Address66 Kampong Bugis Kallang Rivergreen Building 5th Floor, Singapore 338987 Singapore",Neighborhood: Kampong Bugis,1-2 hours,10:00 AM - 10:00 PM
Millenia Walk,Speciality & Gift Shops,NA,3.5,,"Address9 Raffles Boulevard Millenia Walk, Singapore 039596 Singapore",Neighborhood: Marina Centre,NA,10:00 AM - 10:00 PM
Yang Club Singapore,Bars & Clubs,NA,5.0,,"Address3A River Valley Road Merchants' Court #01-02 Clarke Quay, Singapore 179020 Singapore",Neighborhood: Central Area/City Area,More than 3 hours,NA
NA,NA,NA,NA,,NA,NA,NA,NA
Christian Armani Ladies & Gents Tailors,Speciality & Gift Shops • Shopping Malls,NA,4.5,,"Address14 Scotts Road Far East Plaza #02-42, Far East Plaza, Singapore 228213 Singapore",Neighborhood: Central Area/City Area,1-2 hours,10:30 AM - 9:00 PM
Dialogue in the Dark Singapore,Lessons & Workshops,NA,5.0,,"Address535 Clementi Road # 01 Ngee Ann Polytechnic 03 Ngee Ann Polytechnic, Singapore 599489 Singapore",Neighborhood: Anak Bukit,1-2 hours,9:00 AM - 6:00 PM
